<j4> form factors for actinide ions							
Ion	A	a	B	b	C	c	D
U3	-0.9859	16.601	0.6116	6.5147	0.602	2.597	-0.001
U4	-1.054	16.6055	0.4339	6.5119	0.6746	2.5993	-0.0011
U5	-0.9588	16.4851	0.1576	6.4397	0.7785	2.6402	-0.001
Np3	-0.9029	16.5858	0.4006	6.4699	0.6545	2.5631	-0.0004
Np4	-0.9887	12.4415	0.5918	5.2941	0.5306	2.2625	-0.0021
Np5	-0.8146	16.5809	-0.0055	6.4751	0.7956	2.5623	-0.0004
Np6	-0.6738	16.5531	-0.2297	6.5055	0.8513	2.5528	-0.0003
Pu3	-0.7014	16.3687	-0.1162	6.6971	0.7778	2.4502	0
Pu4	-0.916	12.2027	0.4891	5.1274	0.529	2.1487	-0.0022
Pu5	-0.7035	16.3601	-0.0979	6.7057	0.7726	2.4475	0
Pu6	-0.556	16.3215	-0.3046	6.7685	0.8146	2.4259	0.0001
Am2	-0.7433	16.4163	0.3481	6.7884	0.6014	2.3465	0
Am3	-0.8092	12.8542	0.4161	5.4592	0.5476	2.1721	-0.0011
Am4	-0.8548	12.2257	0.3037	5.9087	0.6173	2.1881	-0.0016
Am5	-0.6538	15.4625	-0.0948	5.9971	0.7295	2.2968	0
Am6	-0.539	15.4491	-0.2689	6.0169	0.7711	2.297	0.0002
Am7	-0.4688	12.0193	-0.2692	7.0415	0.7297	2.1638	-0.0011
