<j6> form factors for rare earth ions							
Ion	A	a	B	b	C	c	D
Ce2	-0.1212	7.994	-0.0639	4.0244	0.1519	1.0957	0.0078
Nd2	-0.16	8.0086	0.0272	4.0284	0.1104	1.0682	0.0139
Nd3	-0.0416	8.0136	-0.1261	4.0399	0.14	1.0873	0.0102
Sm2	-0.1428	6.0407	0.0723	2.0329	0.055	0.5134	0.0081
Sm3	-0.0944	6.0299	-0.0498	2.0743	0.1372	0.6451	-0.0132
Eu2	-0.1252	6.0485	0.0507	2.0852	0.0572	0.646	0.0132
Eu3	-0.0817	6.0389	-0.0596	2.1198	0.1243	0.7639	-0.0001
Gd2	-0.1351	5.0298	0.0828	2.0248	0.0315	0.5034	0.0187
Gd3	-0.0662	6.0308	-0.085	2.1542	0.1323	0.891	0.0048
Tb2	-0.0758	6.0319	-0.054	2.1583	0.1199	0.8895	0.0051
Tb3	-0.0559	6.0311	-0.102	2.2365	0.1264	1.1066	0.0167
Dy2	-0.0568	6.0324	-0.1003	2.2396	0.1401	1.1062	0.0109
Dy3	-0.0423	6.0376	-0.1248	2.2437	0.1359	1.2002	0.0188
Ho2	-0.0725	6.0453	-0.0318	2.2428	0.0738	1.2018	0.0252
Ho3	-0.0289	6.0504	-0.1545	2.2305	0.155	1.2605	0.0177
Er2	-0.0648	6.0559	-0.0515	2.2303	0.0825	1.2638	0.025
Er3	-0.011	6.0609	-0.1954	2.2242	0.1818	1.2958	0.0149
Tm2	-0.0842	4.0699	0.0807	0.8492	-0.2087	0.0386	0.2095
Tm3	-0.0727	4.073	0.0243	0.6888	3.9459	0.0023	-3.9076
Yb2	-0.0739	5.0306	0.014	2.03	0.0351	0.508	0.0174
Yb3	-0.0345	5.0073	-0.0677	2.0198	0.0985	0.5485	-0.0076
Pr3	-0.0224	7.9931	-0.1202	3.9406	0.1299	0.8938	0.0051
