<j0> Form factors for actinide ions							
Ion	A	a	B	b	C	c	D
U3	0.5058	23.2882	1.3464	7.0028	-0.8724	4.8683	0.0192
U4	0.3291	23.5475	1.0836	8.454	-0.434	4.1196	0.0214
U5	0.365	19.8038	3.2199	6.2818	-2.6077	5.301	0.0233
Np3	0.5157	20.8654	2.2784	5.893	-1.8163	4.8457	0.0211
Np4	0.4206	19.8046	2.8004	5.9783	-2.2436	4.9848	0.0228
Np5	0.3692	18.19	3.151	5.85	-2.5446	4.9164	0.0248
Np6	0.2929	17.5611	3.4866	5.7847	-2.8066	4.8707	0.0267
Pu3	0.384	16.6793	3.1049	5.421	-2.5148	4.5512	0.0263
Pu4	0.4934	16.8355	1.6394	5.6384	-1.1581	4.1399	0.0248
Pu5	0.3888	16.5592	2.0362	5.6567	-1.4515	4.2552	0.0267
Pu6	0.3172	16.0507	3.4654	5.3507	-2.8102	4.5133	0.0281
Am2	0.4743	21.7761	1.58	5.6902	-1.0779	4.1451	0.0218
Am3	0.4239	19.5739	1.4573	5.8722	-0.9052	3.9682	0.0238
Am4	0.3737	17.8625	1.3521	6.0426	-0.7514	3.7199	0.0258
Am5	0.2956	17.3725	1.4525	6.0734	-0.7755	3.6619	0.0277
Am6	0.2302	16.9533	1.4864	6.1159	-0.7457	3.5426	0.0294
Am7	0.3601	12.7299	1.964	5.1203	-1.356	3.7142	0.0316
