<j2> form factors for 3d transition elements and their ions							
Ion	A	a	B	b	C	c	D
Sc0	10.8172	54.327	4.7353	14.8471	0.6071	4.218	0.0011
Sc1	8.5021	34.2851	3.2116	10.994	0.4244	3.6055	0.0009
Sc2	4.3683	28.6544	3.7231	10.8233	0.6074	3.6678	0.0014
Ti0	4.3583	36.0556	3.823	11.1328	0.6855	3.4692	0.002
Ti1	6.1567	27.2754	2.6833	8.9827	0.407	3.0524	0.0011
Ti2	4.3107	18.3484	2.096	6.797	0.2984	2.5476	0.0007
Ti3	3.3717	14.4441	1.8258	5.7126	0.247	2.2654	0.0005
V0	3.8099	21.3471	2.3295	7.4089	0.4333	2.6324	0.0015
V1	4.7474	23.3226	2.3609	7.8082	0.4105	2.7063	0.0014
V2	3.4386	16.5303	1.9638	6.1415	0.2997	2.2669	0.0009
V3	2.3005	14.6821	2.0364	6.1304	0.4099	2.3815	0.0014
V4	1.8377	12.2668	1.8247	5.4578	0.3979	2.2483	0.0012
V0	3.8989	20.4087	2.2151	7.0842	0.3921	2.5401	0.0014
Cr0	3.4085	20.1267	2.1006	6.802	0.4266	2.3941	0.0019
Cr1	3.7768	20.3456	2.1028	6.8926	0.401	2.4114	0.0017
Cr2	2.6422	16.0598	1.9198	6.2531	0.4446	2.3715	0.002
Cr3	1.6262	15.0656	2.0618	6.2842	0.5281	2.368	0.0023
Cr4	1.0293	13.9498	1.9933	6.0593	0.5974	2.3457	0.0027
Mn0	2.6681	16.0601	1.7561	5.6396	0.3675	2.0488	0.0017
Mn1	3.2953	18.695	1.8792	6.2403	0.3927	2.2006	0.0022
Mn2	2.0515	15.5561	1.8841	6.0625	0.4787	2.2323	0.0027
Mn3	1.2427	14.9966	1.9567	6.1181	0.5732	2.2577	0.0031
Mn4	0.7879	13.8857	1.8717	5.7433	0.5981	2.1818	0.0034
Fe0	1.9405	18.4733	1.9566	6.3234	0.5166	2.1607	0.0036
Fe1	2.629	18.6598	1.8704	6.3313	0.469	2.1628	0.0031
Fe2	1.649	16.5593	1.9064	6.1325	0.5206	2.137	0.0035
Fe3	1.3602	11.9976	1.5188	5.0025	0.4705	1.9914	0.0038
Fe4	1.5582	8.275	1.1863	3.2794	0.1366	1.1068	-0.0022
Co0	1.9678	14.1699	1.4911	4.9475	0.3844	1.7973	0.0027
Co1	2.4097	16.1608	1.578	5.4604	0.4095	1.9141	0.0031
Co2	1.9049	11.6444	1.3159	4.3574	0.3146	1.6453	0.0017
Co3	1.7058	8.8595	1.1409	3.3086	0.1474	1.0899	-0.0025
Co4	1.311	8.0252	1.1551	3.1792	0.1608	1.1301	-0.0011
Ni0	1.0302	12.2521	1.4669	4.7453	0.4521	1.7437	0.0036
Ni1	2.104	14.8655	1.4302	5.0714	0.4031	1.7784	0.0034
Ni2	1.708	11.016	1.2147	4.1031	0.315	1.5334	0.0018
Ni3	1.1612	7.7	1.0027	3.2628	0.2719	1.378	0.0025
Ni4	1.1612	7.7	1.0027	3.2628	0.2719	1.378	0.0025
Cu0	1.9182	14.4904	1.3329	4.7301	0.3842	1.6394	0.0035
Cu1	1.8814	13.4333	1.2809	4.5446	0.3646	1.6022	0.0033
Cu2	1.5189	10.4779	1.1512	3.8132	0.2918	1.3979	0.0017
Cu3	1.2797	8.4502	1.0315	3.2796	0.2401	1.2498	0.0015
Cu4	0.9568	7.4481	0.9099	3.3964	0.3729	1.4936	0.0049
