<j4> form factors for rare earth ions							
Ion	A	a	B	b	C	c	D
Ce2	-0.6468	10.5331	0.4052	5.6243	0.3412	1.5346	0.008
Nd2	-0.5744	10.9304	0.421	6.1052	0.3124	1.4654	0.0081
Nd2	-0.5416	12.2043	0.3571	6.1695	0.3154	1.4847	0.0098
Nd3	-0.4053	14.0141	0.0329	7.0046	0.3759	1.7074	0.0209
Sm2	-0.415	14.057	0.1368	7.0317	0.3272	1.5825	0.0192
Sm3	-0.4288	10.0525	0.1782	5.0191	0.2833	1.2364	0.0088
Eu2	-0.4145	10.193	0.2447	5.1644	0.2661	1.2054	0.0065
Eu3	-0.4095	10.2113	0.1485	5.1755	0.272	1.2374	0.0131
Gd2	-0.3824	10.3436	0.1955	5.3057	0.2622	1.2032	0.0097
Gd3	-0.3621	10.3531	0.1016	5.3104	0.2649	1.2185	0.0147
Tb2	-0.3443	10.4686	0.1481	5.4156	0.2575	1.1824	0.0104
Tb3	-0.3228	10.4763	0.0638	5.4189	0.2566	1.1962	0.0159
Dy2	-0.3206	12.0714	0.0904	8.0264	0.2616	1.2296	0.0143
Dy3	-0.2829	9.5247	0.0565	4.4292	0.2437	1.0665	0.0092
Ho2	-0.2976	9.719	0.1224	4.6345	0.2279	1.0052	0.0063
Ho3	-0.2717	9.7313	0.0474	4.6378	0.2292	1.0473	0.0124
Er2	-0.2975	9.8294	0.1189	4.7406	0.2116	1.0039	0.0117
Er3	-0.2568	9.8339	0.0356	4.7415	0.2172	1.0281	0.0148
Tm2	-0.2677	9.8883	0.0925	4.7838	0.2056	0.9896	0.0124
Tm3	-0.2292	9.8948	0.0124	4.785	0.2108	1.0071	0.0151
Yb2	-0.2393	9.9469	0.0663	4.8231	0.2009	0.9651	0.0122
Yb3	-0.2121	8.1967	0.0325	3.1533	0.1975	0.8842	0.0093
Pr3	-0.397	10.9919	0.0818	5.9897	0.3656	1.5021	0.011
