<j6> form factors for actinide ions							
Ion	A	a	B	b	C	c	D
U3	-0.3797	9.9525	0.0459	5.0379	0.2748	1.6072	0.0016
U4	-0.1793	11.8961	-0.2269	5.428	0.3291	1.7008	0.003
U5	-0.0399	11.8909	-0.3458	5.5803	0.334	1.6448	0.0029
Np3	-0.2427	11.8444	-0.1129	5.3774	0.2848	1.5676	0.0022
Np4	-0.2436	9.5988	-0.1317	4.1014	0.3029	1.5447	0.0019
Np5	-0.1157	9.5649	-0.2654	4.2599	0.3298	1.5494	0.0025
Np6	-0.0128	9.5692	-0.3611	4.3035	0.3419	1.5406	0.0032
Pu3	-0.0364	9.5721	-0.3181	4.3424	0.321	1.5233	0.0041
Pu4	-0.2394	7.8367	-0.0785	4.0243	0.2643	1.3776	0.0012
Pu5	-0.109	7.8188	-0.2243	4.1	0.2947	1.404	0.0015
Pu6	-0.0001	7.8196	-0.3354	4.1439	0.3097	1.4027	0.002
Am2	-0.3176	7.8635	0.0771	4.1611	0.2194	1.3387	0.0018
Am3	-0.3159	6.9821	0.0682	3.9948	0.2141	1.1875	-0.0015
Am4	-0.1787	7.8805	-0.1274	4.0898	0.2565	1.3152	0.0017
Am5	-0.0927	6.0727	-0.2227	3.784	0.2916	1.3723	0.0026
Am6	0.0152	6.0788	-0.3549	3.861	0.3125	1.4031	0.0036
Am7	0.1292	6.0816	-0.4689	3.8791	0.3234	1.3934	0.0042
