<j2> form factors for 4d atoms and ions							
Ion	A	a	B	b	C	c	D
Y0	14.4084	44.6577	5.1045	14.9043	-0.0535	3.3189	0.0028
Zr0	10.1378	35.3372	4.7734	12.5453	-0.0489	2.6721	0.0036
Zr1	11.8722	34.92	4.0502	12.1266	-0.0632	2.8278	0.0034
Nb0	7.4796	33.1789	5.0884	11.5708	-0.0281	1.5635	0.0047
Nb1	8.7735	33.2848	4.6556	11.6046	-0.0268	1.5389	0.0044
Mo0	5.118	23.4217	4.1809	9.208	-0.0505	1.7434	0.0053
Mo1	7.2367	28.1282	4.0705	9.9228	-0.0317	1.4552	0.0049
Tc0	4.2441	21.3974	3.9439	8.3753	-0.0371	1.187	0.0066
Tc1	6.4056	24.8243	3.54	8.6112	-0.0366	1.4846	0.0044
Ru0	3.7445	18.6128	3.4749	7.4201	-0.0363	1.0068	0.0073
Ru1	5.2826	23.6832	3.5813	8.1521	-0.0257	0.4255	0.0131
Rh0	3.3651	17.3444	3.2121	6.8041	-0.035	0.5031	0.0146
Rh1	4.026	18.9497	3.1663	6.9998	-0.0296	0.4862	0.0127
Pd0	3.3105	14.7265	2.6332	5.8618	-0.0437	1.1303	0.0053
Pd1	4.2749	17.9002	2.7021	6.3541	-0.0258	0.6999	0.0071
Ce2	0.9809	18.063	1.8413	7.7688	0.9905	2.8452	0.012
Nd2	1.453	18.3398	1.6196	7.2854	0.8752	2.6224	0.0126
Nd3	0.6751	18.3421	1.6272	7.26	0.9644	2.6016	0.015
Sm2	1.036	18.4249	1.4769	7.0321	0.881	2.4367	0.0152
Sm3	0.4707	18.4301	1.4261	7.0336	0.9574	2.4387	0.0182
Eu2	0.897	18.4429	1.3769	7.0054	0.906	2.4213	0.019
Eu3	0.3985	18.4514	1.3307	6.9556	0.9603	2.378	0.0197
Gd2	0.7756	18.4695	1.3124	6.899	0.8956	2.3383	0.0199
Gd3	0.3347	18.4758	1.2465	6.8767	0.9537	2.3184	0.0217
Tb2	0.6688	18.4909	1.2487	6.8219	0.8888	2.2751	0.0215
Tb3	0.2892	18.4973	1.1678	6.7972	0.9437	2.2573	0.0232
Dy2	0.5917	18.5114	1.1828	6.7465	0.8801	2.2141	0.0229
Dy3	0.2523	18.5172	1.0914	6.7362	0.9345	2.2082	0.025
Ho2	0.5094	18.5155	1.1234	6.706	0.8727	2.1589	0.0242
Ho3	0.2188	18.5157	1.024	6.707	0.9251	2.1614	0.0268
Er2	0.4693	18.5278	1.0545	6.6493	0.8679	2.1201	0.0261
Er3	0.171	18.5337	0.9879	6.6246	0.9044	2.1004	0.0278
Tm2	0.4198	18.5417	0.9959	6.6002	0.8593	2.0818	0.0284
Tm3	0.176	18.5417	0.9105	6.5787	0.897	2.0622	0.0294
Yb2	0.3852	18.5497	0.9415	6.5507	0.8492	2.0425	0.0301
Yb3	0.157	18.5553	0.8484	6.5403	0.888	2.0367	0.0318
Pr3	0.8734	18.9876	1.5594	6.0872	0.8142	2.415	0.0111
