<j2> Form factors for actinide ions							
Ion	A	a	B	b	C	c	D
U3	4.1582	16.5336	2.4675	5.9516	-0.0252	0.7646	0.0057
U4	3.7449	13.8944	2.6453	4.8634	-0.5218	3.1919	0.0009
U5	3.0724	12.546	2.3076	5.2314	-0.0644	1.4738	0.0035
Np3	3.717	15.1333	2.3216	5.5025	-0.0275	0.7996	0.0052
Np4	2.9203	14.6463	2.5979	5.5592	-0.0301	0.3669	0.0141
Np5	2.3308	13.654	2.7219	5.4935	-0.1357	0.0493	0.1224
Np6	1.8245	13.1803	2.8508	5.4068	-0.1579	0.0444	0.1438
Pu3	2.0885	12.8712	2.5961	5.1896	-0.1465	0.0393	0.1343
Pu4	2.7244	12.9262	2.3387	5.1633	-0.13	0.0457	0.1177
Pu5	2.1409	12.8319	2.5664	5.1522	-0.1338	0.0457	0.121
Pu6	1.7262	12.324	2.6652	5.0662	-0.1695	0.0406	0.155
Am2	3.5237	15.9545	2.2855	5.1946	-0.0142	0.5853	0.0033
Am3	2.8622	14.7328	2.4099	5.1439	-0.1326	0.0309	0.1233
Am4	2.4141	12.9478	2.3687	4.9447	-0.249	0.0215	0.2371
Am5	2.0109	12.0534	2.4155	4.8358	-0.2264	0.0275	0.2128
Am6	1.6778	11.3372	2.4531	4.7247	-0.2043	0.0337	0.1892
Am7	1.8845	9.1606	2.0746	4.0422	-0.1318	1.7227	0.002
