Element	H	He	Li	Be	B		C	N	O	F	Ne
Z	1 	2 	3 	4 	5 		6 	7 	8 	9 	10 
Method	E	RHF	RHF	RHF	RHF		RHF	RHF	RHF	RHF	    RHF
0.00 	1.000 	2.000 	3.000 	4.000 	5.000 		6.000 	7.000 	8.000 	9.000 	   10.000 
0.01 	0.998 	1.998 	2.986 	3.987 	4.988 		5.990 	6.991 	7.992 	8.993 	9.993 
0.02 	0.991 	1.993 	2.947 	3.950 	4.954 		5.958 	6.963 	7.967 	8.970 	9.973 
0.03 	0.980 	1.984 	2.884 	3.889 	4.897 		5.907 	6.918 	7.926 	8.933 	9.938 
0.04 	0.966 	1.972 	2.802 	3.807 	4.820 		5.837 	6.855 	7.869 	8.881 	9.891 
0.05 	0.947 	1.957 	2.708 	3.707 	4.724 		5.749 	6.776 	7.798 	8.815 	9.830 
0.06 	0.925 	1.939 	2.606 	3.592 	4.613 		5.645 	6.682 	7.712 	8.736 	9.757 
0.07 	0.900 	1.917 	2.502 	3.468 	4.488 		5.526 	6.574 	7.612 	8.645 	9.672 
0.08 	0.872 	1.893 	2.400 	3.336 	4.352 		5.396 	6.453 	7.501 	8.541 	9.576 
0.09 	0.842 	1.866 	2.304 	3.201 	4.209 		5.255 	6.321 	7.378 	8.427 	9.469 
0.10 	0.811 	1.837 	2.215 	3.065 	4.060 		5.107 	6.180 	7.245 	8.302 	9.351 
0.11 	0.778 	1.806 	2.135 	2.932 	3.908 		4.952 	6.030 	7.103 	8.168 	9.225 
0.12 	0.744 	1.772 	2.065 	2.804 	3.756 		4.794 	5.875 	6.954 	8.026 	9.090 
0.13 	0.710 	1.737 	2.004 	2.683 	3.606 		4.633 	5.714 	6.798 	7.876 	8.948 
0.14 	0.676 	1.701 	1.950 	2.569 	3.459 		4.472 	5.551 	6.637 	7.721 	8.799 
0.15 	0.641 	1.663 	1.904 	2.463 	3.316 		4.311 	5.385 	6.472 	7.560 	8.643 
0.16 	0.608 	1.624 	1.863 	2.365 	3.179 		4.153 	5.218 	6.304 	7.395 	8.483 
0.17 	0.574 	1.584 	1.828 	2.277 	3.048 		3.998 	5.051 	6.134 	7.226 	8.318 
0.18 	0.542 	1.543 	1.796 	2.197 	2.924 		3.847 	4.886 	5.964 	7.055 	8.150 
0.19 	0.511 	1.502 	1.768 	2.125 	2.808 		3.701 	4.723 	5.793 	6.883 	7.978 
0.20 	0.481 	1.460 	1.742 	2.060 	2.699 		3.560 	4.563 	5.623 	6.709 	7.805 
0.22 	0.424 	1.377 	1.693 	1.951 	2.503 		3.297 	4.254 	5.289 	6.362 	7.454 
0.24 	0.373 	1.295 	1.648 	1.864 	2.336 		3.058 	3.963 	4.965 	6.020 	7.102 
0.25 	0.350 	1.254 	1.626 	1.828 	2.263 		2.949 	3.825 	4.808 	5.851 	6.928 
0.26 	0.328 	1.214 	1.604 	1.795 	2.195 		2.846 	3.693 	4.655 	5.685 	6.754 
0.28 	0.287 	1.136 	1.559 	1.739 	2.077 		2.658 	3.445 	4.363 	5.363 	6.412 
0.30 	0.251 	1.060 	1.513 	1.692 	1.979 		2.494 	3.219 	4.089 	5.054 	6.079 
0.32 	0.220 	0.988 	1.465 	1.652 	1.897 		2.351 	3.014 	3.834 	4.761 	5.758 
0.34 	0.193 	0.920 	1.417 	1.616 	1.829 		2.227 	2.831 	3.599 	4.484 	5.451 
0.35 	0.180 	0.887 	1.393 	1.600 	1.799 		2.171 	2.747 	3.489 	4.353 	5.302 
0.36 	0.169 	0.856 	1.369 	1.583 	1.771 		2.120 	2.667 	3.383 	4.225 	5.158 
0.38 	0.148 	0.795 	1.320 	1.551 	1.723 		2.028 	2.522 	3.186 	3.983 	4.880 
