Element	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca
Z	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 
Method	RHF	RHF	RHF	RHF	RHF	RHF	   RHF	RHF	RHF	    RHF
0.00 	11.000 	12.000 	13.000 	14.000 	15.000 	16.000 	   17.000 	   18.000 	   19.000 	   20.000 
0.01 	10.980 	11.978 	12.976 	13.976 	14.977 	15.979 	   16.980 	   17.981 	   18.963 	   19.959 
0.02 	10.922 	11.914 	12.903 	13.904 	14.909 	15.915 	   16.919 	   17.924 	   18.854 	   19.838 
0.03 	10.830 	11.811 	12.786 	13.787 	14.798 	15.809 	   16.820 	   17.830 	   18.683 	   19.645 
0.04 	10.709 	11.674 	12.629 	13.628 	14.646 	15.665 	   16.683 	   17.700 	   18.462 	   19.392 
0.05 	10.568 	11.507 	12.439 	13.434 	14.458 	15.484 	   16.511 	   17.536 	   18.204 	   19.091 
0.06 	10.412 	11.319 	12.222 	13.209 	14.237 	15.271 	   16.306 	   17.340 	   17.924 	   18.758 
0.07 	10.249 	11.116 	11.987 	12.961 	13.990 	15.030 	   16.073 	   17.116 	   17.630 	   18.405 
0.08 	10.084 	10.903 	11.739 	12.695 	13.721 	14.764 	   15.814 	   16.865 	   17.332 	   18.045 
0.09 	9.920 	10.687 	11.485 	12.417 	13.435 	14.478 	   15.533 	   16.591 	   17.032 	   17.685 
0.10 	9.760 	10.472 	11.230 	12.134 	13.138 	14.177 	   15.234 	   16.298 	   16.733 	   17.331 
0.11 	9.605 	10.262 	10.978 	11.849 	12.834 	13.865 	   14.921 	   15.988 	   16.436 	   16.987 
0.12 	9.455 	10.059 	10.733 	11.567 	12.527 	13.546 	   14.597 	   15.665 	   16.138 	   16.655 
0.13 	9.309 	9.864 	10.498 	11.292 	12.223 	13.224 	   14.266 	   15.331 	   15.841 	   16.334 
0.14 	9.166 	9.678 	10.273 	11.025 	11.922 	12.902 	   13.932 	   14.991 	   15.543 	   16.024 
0.15 	9.027 	9.502 	10.059 	10.769 	11.629 	12.583 	   13.597 	   14.647 	   15.243 	   15.723 
0.16 	8.888 	9.334 	9.857 	10.525 	11.345 	12.270 	   13.263 	   14.301 	   14.941 	   15.430 
0.17 	8.751 	9.175 	9.667 	10.293 	11.072 	11.964 	   12.934 	   13.957 	   14.638 	   15.142 
0.18 	8.613 	9.023 	9.487 	10.074 	10.811 	11.668 	   12.611 	   13.615 	   14.334 	   14.859 
0.19 	8.475 	8.876 	9.318 	9.868 	10.563 	11.382 	   12.297 	   13.279 	   14.031 	   14.580 
0.20 	8.335 	8.735 	9.158 	9.673 	10.327 	11.109 	   11.991 	   12.949 	   13.728 	   14.304 
0.22 	8.052 	8.465 	8.862 	9.319 	9.894 	10.598 	   11.413 	   12.315 	   13.130 	   13.760 
0.24 	7.764 	8.205 	8.592 	9.004 	9.510 	10.138 	   10.881 	   11.721 	   12.550 	   13.225 
0.25 	7.618 	8.078 	8.465 	8.859 	9.335 	9.927 	   10.633 	   11.441 	   12.268 	   12.961 
0.26 	7.471 	7.951 	8.341 	8.722 	9.170 	9.727 	   10.398 	   11.172 	   11.994 	   12.701 
0.28 	7.176 	7.698 	8.103 	8.467 	8.869 	9.363 	    9.964 	   10.671 	   11.468 	   12.194 
0.30 	6.881 	7.446 	7.873 	8.231 	8.600 	9.039 	    9.576 	   10.216 	   10.977 	   11.705 
0.32 	6.588 	7.194 	7.648 	8.011 	8.357 	8.752 	    9.231 	    9.807 	   10.521 	   11.240 
0.34 	6.298 	6.943 	7.426 	7.800 	8.134 	8.494 	    8.923 	    9.441 	   10.103 	   10.800 
0.35 	6.156 	6.817 	7.316 	7.698 	8.029 	8.376 	    8.782 	    9.272 	    9.908 	   10.590 
0.36 	6.015 	6.691 	7.205 	7.597 	7.928 	8.262 	    8.649 	    9.113 	    9.722 	   10.388 
0.38 	5.739 	6.442 	6.985 	7.398 	7.733 	8.051 	    8.403 	    8.820 	    9.375 	   10.004 
0.40 	5.471 	6.194 	6.766 	7.202 	7.547 	7.856 	    8.181 	    8.558 	    9.061 	9.650 
0.42 	5.214 	5.951 	6.548 	7.008 	7.367 	7.673 	    7.979 	    8.322 	    8.778 	9.324 
0.44 	4.967 	5.712 	6.330 	6.815 	7.190 	7.501 	    7.794 	    8.110 	    8.522 	9.025 
0.45 	4.848 	5.595 	6.222 	6.719 	7.103 	7.417 	    7.706 	    8.011 	    8.403 	8.885 
0.46 	4.731 	5.480 	6.115 	6.622 	7.017 	7.335 	    7.621 	    7.917 	    8.290 	8.752 
0.48 	4.506 	5.253 	5.902 	6.431 	6.845 	7.174 	    7.459 	    7.739 	    8.080 	8.502 
0.50 	4.293 	5.034 	5.692 	6.240 	6.674 	7.017 	    7.305 	    7.575 	    7.889 	8.275 
0.55 	3.811 	4.520 	5.186 	5.769 	6.250 	6.633 	    6.941 	    7.207 	    7.474 	7.788 
0.60 	3.398 	4.059 	4.713 	5.312 	5.829 	6.254 	    6.595 	    6.875 	    7.125 	7.392 
0.65 	3.048 	3.652 	4.277 	4.878 	5.418 	5.877 	    6.254 	    6.560 	    6.814 	7.057 
0.70 	2.754 	3.297 	3.883 	4.470 	5.020 	5.505 	    5.915 	    6.252 	    6.523 	6.762 
0.80 	2.305 	2.729 	3.221 	3.750 	4.284 	4.790 	    5.245 	    5.639 	    5.961 	6.228 
0.90 	1.997 	2.317 	2.712 	3.164 	3.649 	4.138 	    4.607 	    5.036 	    5.406 	5.717 
1.00 	1.784 	2.022 	2.330 	2.702 	3.122 	3.570 	    4.023 	    4.460 	    4.859 	5.209 
1.10 	1.634 	1.812 	2.049 	2.346 	2.698 	3.092 	    3.509 	    3.931 	    4.337 	4.710 
1.20 	1.524 	1.660 	1.841 	2.076 	2.364 	2.699 	    3.070 	    3.462 	    3.855 	4.233 
1.30 	1.438 	1.546 	1.687 	1.872 	2.104 	2.384 	    2.704 	    3.056 	    3.423 	3.791 
1.40 	1.367 	1.459 	1.571 	1.717 	1.903 	2.133 	    2.405 	    2.713 	    3.045 	3.391 
1.50 	1.304 	1.387 	1.481 	1.598 	1.747 	1.935 	    2.162 	    2.427 	    2.722 	3.039 
1.60 	1.247 	1.326 	1.408 	1.505 	1.626 	1.779 	    1.967 	    2.192 	    2.450 	2.733 
1.70 	1.191 	1.270 	1.346 	1.430 	1.530 	1.655 	    1.811 	    2.000 	    2.221 	2.470 
1.80 	1.137 	1.219 	1.292 	1.367 	1.453 	1.557 	    1.686 	    1.844 	    2.033 	2.250 
1.90 	1.084 	1.169 	1.243 	1.313 	1.389 	1.477 	    1.585 	    1.717 	    1.876 	2.063 
2.00 	1.032 	1.120 	1.195 	1.264 	1.333 	1.411 	    1.502 	    1.614 	    1.748 	1.908 
2.50 	0.791 	0.892 	0.979 	1.056 	1.122 	1.182 	    1.240 	    1.301 	    1.367 	1.444 
3.00 	0.591 	0.691 	0.783 	0.867 	0.942 	1.009 	    1.069 	    1.123 	    1.174 	1.225 
3.50 	0.438 	0.527 	0.615 	0.699 	0.777 	0.849 	    0.915 	    0.974 	    1.028 	1.078 
4.00 	0.325 	0.401 	0.478 	0.566 	0.632 	0.705 	    0.773 	    0.836 	    0.895 	0.949 
5.00 	0.183 	0.234 	0.290 	0.349 	0.411 	0.474 	    0.536 	    0.597 	    0.657 	0.715 
6.00 	0.107 	0.141 	0.179 	0.222 	0.268 	0.316 	    0.367 	    0.419 	    0.472 	0.524 
