Element	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn
Z	21 	22 	23 	24 	25 	26 	27 	28 	29 	30 
Method	RHF	RHF	RHF	RHF	RHF	RHF	RHF	RHF	RHF	    RHF
0.00 	21.000 	22.000 	   23.000 	   24.000 	   25.000 	   26.000 	   27.000 	   28.000 	   29.000 	   30.000 
0.01 	20.962 	21.964 	   22.966 	   23.971 	   24.969 	   25.970 	   26.972 	   27.973 	   28.977 	   29.975 
0.02 	20.848 	21.856 	   22.864 	   23.885 	   24.876 	   25.882 	   26.887 	   27.892 	   28.908 	   29.900 
0.03 	20.665 	21.682 	   22.698 	   23.746 	   24.726 	   25.738 	   26.749 	   27.759 	   28.794 	   29.777 
0.04 	20.422 	21.451 	   22.477 	   23.558 	   24.523 	   25.543 	   26.562 	   27.579 	   28.640 	   29.609 
0.05 	20.131 	21.171 	   22.208 	   23.329 	   24.274 	   25.304 	   26.331 	   27.356 	   28.448 	   29.401 
0.06 	19.805 	20.854 	   21.902 	   23.065 	   23.988 	   25.026 	   26.063 	   27.096 	   28.223 	   29.157 
0.07 	19.455 	20.511 	   21.567 	   22.772 	   23.671 	   24.719 	   25.764 	   26.806 	   27.971 	   28.883 
0.08 	19.091 	20.150 	   21.212 	   22.459 	   23.331 	   24.387 	   25.440 	   26.490 	   27.694 	   28.583 
0.09 	18.723 	19.781 	   20.846 	   22.129 	   22.976 	   24.038 	   25.098 	   26.156 	   27.397 	   28.263 
0.10 	18.356 	19.410 	   20.474 	   21.789 	   22.611 	   23.678 	   24.744 	   25.807 	   27.084 	   27.927 
0.11 	17.995 	19.041 	   20.102 	   21.441 	   22.240 	   23.310 	   24.380 	   25.448 	   26.758 	   27.579 
0.12 	17.643 	18.678 	   19.733 	   21.089 	   21.868 	   22.939 	   24.011 	   25.083 	   26.422 	   27.222 
0.13 	17.301 	18.322 	   19.369 	   20.734 	   21.497 	   22.568 	   23.641 	   24.714 	   26.077 	   26.859 
