Element	Ga	Ge	As	Se	Br	Kr	Rb	Sr	Y	Zr
Z	31 	32 	33 	34 	35 	36 	37 	38 	39 	40 
Method	   RHF	    RHF	RHF	   RHF	RHF	RHF	RHF	   RHF	*RHF	    *RHF
0.00 	31.000 	32.000 	33.000 	34.000 	35.000 	36.000 	   37.000 	38.000 	39.000 	   40.000 
0.01 	30.971 	31.970 	32.970 	33.970 	34.971 	35.972 	   36.952 	37.946 	38.947 	   39.949 
0.02 	30.883 	31.878 	32.879 	33.881 	34.883 	35.886 	   36.809 	37.786 	38.792 	   39.800 
0.03 	30.740 	31.729 	32.730 	33.734 	34.739 	35.744 	   36.583 	37.532 	38.543 	   39.559 
0.04 	30.546 	31.526 	32.527 	33.532 	34.540 	35.549 	   36.291 	37.197 	38.212 	   39.237 
0.05 	30.308 	31.276 	32.274 	33.280 	34.291 	35.304 	   35.948 	36.802 	37.816 	   38.847 
0.06 	30.031 	30.984 	31.977 	32.982 	33.995 	35.011 	   35.571 	36.363 	37.369 	   38.403 
0.07 	29.724 	30.657 	31.642 	32.645 	33.658 	34.677 	   35.171 	35.897 	36.889 	   37.921 
0.08 	29.391 	30.302 	31.276 	32.273 	33.284 	34.305 	   34.758 	35.418 	36.387 	   37.412 
0.09 	29.040 	29.926 	30.884 	31.872 	32.880 	33.899 	   34.336 	34.937 	35.876 	   36.887 
0.10 	28.675 	29.534 	30.473 	31.449 	32.450 	33.467 	   33.907 	34.458 	35.364 	   36.356 
0.11 	28.302 	29.133 	30.049 	31.009 	32.000 	33.011 	   33.473 	33.986 	34.855 	   35.824 
0.12 	27.924 	28.725 	29.616 	30.557 	31.535 	32.537 	   33.034 	33.522 	34.354 	   35.296 
0.13 	27.543 	28.316 	29.179 	30.099 	31.060 	32.051 	   32.588 	33.066 	33.861 	   34.775 
0.14 	27.162 	27.908 	28.742 	29.637 	30.578 	31.555 	   32.137 	32.616 	33.378 	   34.262 
0.15 	26.783 	27.504 	28.307 	29.175 	30.095 	31.055 	   31.681 	32.171 	32.904 	   33.758 
0.16 	26.406 	27.104 	27.877 	28.718 	29.613 	30.553 	   31.220 	31.730 	32.437 	   33.263 
0.17 	26.033 	26.709 	27.454 	28.266 	29.136 	30.053 	   30.757 	31.292 	31.977 	   32.776 
0.18 	25.663 	26.322 	27.039 	27.822 	28.664 	29.558 	   30.293 	30.856 	31.523 	   32.298 
0.19 	25.297 	25.941 	26.633 	27.387 	28.202 	29.070 	   29.830 	30.421 	31.075 	   31.827 
0.20 	24.935 	25.567 	26.235 	26.962 	27.749 	28.590 	   29.368 	29.988 	30.631 	   31.363 
0.22 	24.121 	24.839 	25.469 	26.145 	26.876 	27.663 	   28.459 	29.128 	29.758 	   30.454 
0.24 	23.520 	24.135 	24.739 	25.372 	26.052 	26.784 	   27.576 	28.280 	28.904 	   29.572 
0.25 	23.174 	23.791 	24.386 	25.001 	25.658 	26.364 	   27.148 	27.863 	28.485 	   29.141 
0.26 	22.830 	23.452 	24.041 	24.641 	25.276 	25.957 	   26.729 	27.452 	28.071 	   28.716 
0.28 	22.151 	22.787 	23.370 	23.947 	24.545 	25.181 	   25.922 	26.648 	27.263 	   27.889 
0.30 	21.481 	22.136 	22.724 	23.288 	23.857 	24.453 	   25.158 	25.875 	26.483 	   27.092 
0.32 	20.820 	21.498 	22.097 	22.656 	23.206 	23.771 	   24.437 	25.135 	25.734 	   26.327 
0.34 	20.169 	20.870 	21.486 	22.048 	22.587 	23.128 	   23.758 	24.430 	25.018 	   25.596 
0.35 	19.847 	20.560 	21.185 	21.751 	22.288 	22.820 	   23.432 	24.090 	24.673 	   25.243 
0.36 	19.527 	20.253 	20.888 	21.459 	21.995 	22.520 	   23.116 	23.760 	24.336 	   24.899 
0.38 	18.897 	19.645 	20.301 	20.887 	21.425 	21.941 	   22.510 	23.125 	23.687 	   24.236 
0.40 	18.278 	19.047 	19.725 	20.328 	20.874 	21.388 	   21.934 	22.522 	23.071 	   23.606 
0.42 	17.673 	18.459 	19.159 	19.780 	20.338 	20.855 	   21.386 	21.950 	22.485 	   23.008 
0.44 	17.083 	17.882 	18.602 	19.242 	19.816 	20.339 	   20.860 	21.404 	21.928 	   22.439 
0.45 	16.794 	17.598 	18.326 	18.977 	19.558 	20.087 	   20.605 	21.141 	21.660 	   22.166 
0.46 	16.508 	17.317 	18.054 	18.713 	19.304 	19.838 	   20.354 	20.883 	21.398 	   21.899 
