Element	Nb	Mo	Tc	Ru	Rh	Pd	Ag	Cd	In	Sn
Z	41 	42 	43 	44 	45 	46 	47 	48 	49 	50 
Method	*RHF	RHF	*RHF	   *RHF	   *RHF	   *RHF	RHF	RHF	RHF	    RHF
0.00 	41.000 	42.000 	43.000 	44.000 	45.000 	46.000 	47.000 	48.000 	49.000 	   50.000 
0.01 	40.956 	41.958 	42.955 	43.960 	44.961 	45.968 	46.964 	47.962 	48.957 	   49.955 
0.02 	40.824 	41.831 	42.821 	43.842 	44.847 	45.874 	46.857 	47.848 	48.828 	   49.821 
0.03 	40.610 	41.625 	42.603 	43.649 	44.660 	45.718 	46.681 	47.660 	48.618 	   49.601 
0.04 	40.323 	41.346 	42.308 	43.386 	44.405 	45.503 	46.440 	47.404 	48.332 	   49.303 
0.05 	39.970 	41.003 	41.945 	43.061 	44.088 	45.232 	46.139 	47.085 	47.980 	   48.934 
0.06 	39.565 	40.606 	41.526 	42.681 	43.717 	44.908 	45.786 	46.710 	47.570 	   48.504 
0.07 	39.116 	40.164 	41.059 	42.254 	43.299 	44.535 	45.385 	46.287 	47.112 	   48.022 
0.08 	38.634 	39.686 	40.557 	41.789 	42.842 	44.119 	44.944 	45.822 	46.614 	   47.498 
0.09 	38.128 	39.181 	40.028 	41.292 	42.351 	43.663 	44.469 	45.324 	46.086 	   46.942 
0.10 	37.606 	38.656 	39.480 	40.770 	41.834 	43.172 	43.964 	44.797 	45.534 	   46.361 
0.11 	37.073 	38.117 	38.921 	40.229 	41.296 	42.651 	43.435 	44.248 	44.964 	   45.764 
0.12 	36.535 	37.569 	38.355 	39.674 	40.741 	42.105 	42.886 	43.683 	44.383 	   45.155 
0.13 	35.994 	37.016 	37.787 	39.108 	40.173 	41.538 	42.322 	43.104 	43.793 	   44.541 
0.14 	35.454 	36.461 	37.221 	38.536 	39.597 	40.954 	41.744 	42.517 	43.199 	   43.924 
0.15 	34.916 	35.907 	36.658 	37.959 	39.015 	40.357 	41.157 	41.923 	42.603 	   43.309 
0.16 	34.382 	35.355 	36.100 	37.381 	38.429 	39.750 	40.563 	41.325 	42.006 	   42.696 
0.17 	33.854 	34.806 	35.548 	36.803 	37.841 	39.137 	39.964 	40.726 	41.410 	   42.088 
0.18 	33.331 	34.263 	35.003 	36.228 	37.254 	38.520 	39.361 	40.126 	40.817 	   41.486 
0.19 	32.814 	33.725 	34.466 	35.655 	36.668 	37.902 	38.758 	39.527 	40.226 	   40.891 
0.20 	32.305 	33.195 	33.936 	35.088 	36.086 	37.286 	38.154 	38.930 	39.639 	   40.302 
0.22 	31.310 	32.157 	32.900 	33.971 	34.937 	36.064 	36.955 	37.746 	38.478 	   39.145 
0.24 	30.348 	31.153 	31.897 	32.886 	33.815 	34.868 	35.774 	36.581 	37.337 	   38.016 
0.25 	29.881 	30.665 	31.409 	32.356 	33.267 	34.283 	35.192 	36.007 	36.774 	   37.462 
0.26 	29.424 	30.188 	30.930 	31.837 	32.728 	33.708 	34.619 	35.440 	36.218 	   36.915 
0.28 	28.538 	29.263 	29.998 	30.829 	31.680 	32.592 	33.498 	34.329 	35.125 	   35.841 
0.30 	27.692 	28.382 	29.104 	29.866 	30.675 	31.523 	32.416 	33.251 	34.059 	   34.794 
