Element	Sb	Te	I	Xe	Cs	Ba	La	Ce	Pr	Nd
Z	51 	52 	53 	54 	55 	56 	57 	58 	59 	60 
Method	   RHF	*RHF	RHF	RHF	   RHF	    RHF	*RHF	   *RHF	  *RHF	    *RHF
0.00 	51.000 	52.000 	53.000 	54.000 	55.000 	56.000 	57.000 	   58.000 	   59.000 	   60.000 
0.01 	50.955 	51.954 	52.955 	53.956 	54.932 	55.925 	56.926 	   57.928 	   58.929 	   59.931 
0.02 	50.819 	51.818 	52.820 	53.821 	54.732 	55.703 	56.708 	   57.715 	   58.722 	   59.728 
0.03 	50.596 	51.594 	52.597 	53.601 	54.417 	55.350 	56.360 	   57.375 	   58.392 	   59.404 
0.04 	50.293 	51.288 	52.292 	53.297 	54.008 	54.888 	55.900 	   56.924 	   57.956 	   58.977 
0.05 	49.915 	50.906 	51.911 	52.917 	53.527 	54.345 	55.351 	   56.385 	   57.439 	   58.468 
0.06 	49.474 	50.458 	51.460 	52.467 	52.996 	53.743 	54.736 	   55.779 	   56.861 	   57.899 
0.07 	48.977 	49.951 	50.950 	51.954 	52.430 	53.106 	54.076 	   55.127 	   56.242 	   57.288 
0.08 	48.434 	49.395 	50.387 	51.388 	51.839 	52.450 	53.388 	   54.446 	   55.599 	   56.651 
0.09 	47.856 	48.800 	49.781 	50.775 	51.229 	51.786 	52.687 	   53.750 	   54.943 	   56.000 
0.10 	47.250 	48.174 	49.142 	50.125 	50.603 	51.122 	51.982 	   53.047 	   54.281 	   55.342 
0.11 	46.625 	47.526 	48.476 	49.447 	49.963 	50.460 	51.278 	   52.345 	   53.617 	   54.680 
0.12 	45.988 	46.863 	47.793 	48.747 	49.309 	49.802 	50.580 	   51.646 	   52.952 	   54.017 
0.13 	45.344 	46.193 	47.099 	48.033 	48.645 	49.146 	49.888 	   50.952 	   52.288 	   53.354 
0.14 	44.699 	45.519 	46.400 	47.311 	47.971 	48.492 	49.202 	   50.263 	   51.623 	   52.689 
0.15 	44.056 	44.848 	45.702 	46.588 	47.291 	47.839 	48.523 	49.579 	   50.957 	   52.022 
0.16 	43.419 	44.182 	45.008 	45.868 	46.606 	47.186 	47.849 	48.901 	   50.289 	   51.353 
0.17 	42.789 	43.526 	44.323 	45.155 	45.921 	46.533 	47.182 	48.227 	49.620 	   50.682 
0.18 	42.168 	42.879 	43.648 	44.453 	45.237 	45.882 	46.519 	47.557 	48.950 	   50.009 
0.19 	41.556 	42.245 	42.987 	43.763 	44.559 	45.232 	45.862 	46.892 	48.280 	   49.334 
0.20 	40.955 	41.623 	42.340 	43.088 	43.888 	44.586 	45.212 	46.233 	47.610 	   48.660 
0.22 	39.783 	40.419 	41.091 	41.788 	42.578 	43.309 	43.932 	44.933 	46.278 	   47.317 
0.24 	38.652 	39.267 	39.904 	40.557 	41.320 	42.064 	42.686 	43.663 	44.967 	   45.989 
0.25 	38.100 	38.709 	39.333 	39.967 	40.713 	41.456 	42.078 	43.042 	44.323 	   45.336 
0.26 	37.556 	38.163 	38.776 	39.393 	40.121 	40.859 	41.481 	42.432 	43.688 	   44.690 
0.28 	36.495 	37.102 	37.702 	38.294 	38.982 	39.702 	40.321 	41.244 	42.448 	   43.428 
0.30 	35.465 	36.079 	36.675 	37.251 	37.904 	38.598 	39.212 	40.104 	41.256 	   42.210 
0.32 	34.464 	35.090 	35.690 	36.259 	36.881 	37.546 	38.153 	39.014 	40.113 	   41.040 
0.34 	33.491 	34.131 	34.741 	35.310 	35.909 	36.545 	37.145 	37.975 	39.022 	   39.920 
0.35 	33.016 	33.663 	34.279 	34.850 	35.440 	36.063 	36.659 	37.474 	38.496 	   39.379 
0.36 	32.547 	33.202 	33.824 	34.399 	34.981 	35.593 	36.185 	36.985 	37.982 	   38.851 
0.38 	31.631 	32.299 	32.936 	33.520 	34.094 	34.685 	35.270 	36.040 	36.989 	   37.830 
0.40 	30.745 	31.424 	32.075 	32.671 	33.241 	33.818 	34.397 	35.139 	36.042 	   36.854 
0.42 	29.888 	30.575 	31.238 	31.847 	32.419 	32.986 	33.562 	34.277 	35.137 	   35.922 
0.44 	29.063 	29.753 	30.427 	31.047 	31.624 	32.187 	32.760 	33.451 	34.269 	   35.029 
0.45 	28.663 	29.352 	30.030 	30.656 	31.236 	31.798 	32.370 	33.051 	33.849 	   34.596 
0.46 	28.270 	28.959 	29.640 	30.271 	30.854 	31.415 	31.988 	32.658 	33.437 	   34.171 
0.48 	27.511 	28.194 	28.877 	29.517 	30.107 	30.670 	31.243 	31.893 	32.635 	   33.347 
0.50 	26.784 	27.458 	28.141 	28.785 	29.382 	29.948 	30.523 	31.154 	31.862 	   32.553 
0.55 	25.113 	25.748 	26.412 	27.054 	27.661 	28.238 	28.817 	29.409 	30.040 	   30.683 
0.60 	23.646 	24.226 	24.851 	25.470 	26.072 	26.652 	27.231 	27.791 	28.358 	   28.960 
0.65 	22.366 	22.885 	23.459 	24.038 	24.619 	25.189 	25.759 	26.289 	26.803 	   27.367 
0.70 	21.253 	21.711 	22.228 	22.758 	23.303 	23.851 	24.401 	24.901 	25.370 	   25.899 
0.80 	19.424 	19.783 	20.193 	20.618 	21.072 	21.547 	22.031 	22.469 	22.867 	   23.325 
0.90 	17.958 	18.262 	18.599 	18.943 	19.310 	19.701 	20.106 	20.481 	20.824 	   21.214 
1.00 	16.696 	16.986 	17.293 	17.591 	17.900 	18.224 	18.561 	18.881 	19.182 	   19.513 
1.10 	15.537 	15.841 	16.150 	16.438 	16.722 	17.008 	17.300 	17.583 	17.854 	   18.139 
1.20 	14.429 	14.759 	15.090 	15.390 	15.676 	15.953 	16.227 	16.491 	16.745 	   17.003 
1.30 	13.355 	13.712 	14.072 	14.396 	14.700 	14.988 	15.265 	15.526 	15.776 	   16.024 
1.40 	12.321 	12.698 	13.082 	13.432 	13.759 	14.067 	14.362 	14.633 	14.888 	   15.138 
1.50 	11.341 	11.726 	12.125 	12.494 	12.845 	13.175 	13.489 	13.776 	14.042 	   14.303 
1.60 	10.431 	10.811 	11.214 	11.592 	11.956 	12.305 	12.636 	12.939 	13.218 	   13.493 
1.70 	   9.602 	9.966 	10.360 	10.736 	11.104 	11.461 	11.807 	12.123 	12.414 	   12.704 
1.80 	   8.861 	9.201 	    9.576 	    9.940 	10.303 	10.661 	11.009 	11.333 	11.631 	   11.932 
1.90 	   8.208 	8.518 	    8.868 	    9.212 	    9.558 	9.907 	10.253 	10.576 	10.878 	   11.185 
2.00 	   7.642 	7.921 	    8.239 	    8.556 	    8.881 	9.213 	    9.550 	   9.868 	10.166 	   10.473 
2.50 	   5.836 	5.980 	    6.142 	    6.315 	    6.502 	6.704 	    6.917 	   7.117 	   7.333 	     7.567 
3.00 	   4.945 	5.040 	    5.132 	    5.229 	    5.332 	5.440 	    5.550 	   5.663 	   5.800 	     5.930 
3.50 	   4.295 	4.390 	    4.478 	    4.566 	    4.651 	4.735 	    4.820 	   4.910 	   5.000 	     5.090 
4.00 	   3.678 	3.780 	    3.891 	    3.991 	    4.087 	4.178 	    4.270 	   4.360 	   4.445 	     4.525 
5.00 	   2.615 	2.722 	    2.828 	    2.935 	    3.041 	3.146 	    3.240 	   3.340 	   3.435 	     3.530 
6.00 	   1.909 	    1.990 	    2.067 	    2.150 	    2.237 	2.325 	    2.410 	   2.490 	   2.580 	     2.670 
