Element	Pm	Sm	Eu	Gd	Tb	Dy	Ho	Er	Tm	Yb
Z	61 	62 	63 	64 	65 	66 	67 	68 	69 	70 
Method	*RHF	*RHF	   RHF	*RHF	   *RHF	   *RHF	   *RHF	   *RHF	   *RHF	    *RHF
0.00 	61.000 	62.000 	63.000 	64.000 	65.000 	66.000 	67.000 	68.000 	69.000 	    70.000 
0.01 	60.932 	61.934 	62.936 	63.936 	64.938 	65.939 	66.940 	67.941 	68.943 	   69.944 
0.02 	60.734 	61.740 	62.746 	63.749 	64.755 	65.760 	66.763 	67.769 	68.773 	   69.777 
0.03 	60.417 	61.428 	62.441 	63.447 	64.461 	65.471 	66.476 	67.491 	68.500 	   69.509 
0.04 	59.998 	61.017 	62.036 	63.044 	64.071 	65.088 	66.093 	67.120 	68.136 	   69.151 
0.05 	59.497 	60.525 	61.552 	62.557 	63.603 	64.627 	65.627 	66.673 	67.696 	   68.717 
0.06 	58.936 	59.972 	61.007 	62.004 	63.073 	64.105 	65.096 	66.166 	67.195 	   68.223 
0.07 	58.333 	59.377 	60.419 	61.400 	62.499 	63.538 	64.513 	65.613 	66.649 	   67.684 
0.08 	57.703 	58.753 	59.801 	60.762 	61.894 	62.940 	63.895 	65.028 	66.070 	   67.112 
0.09 	57.057 	58.113 	59.166 	60.102 	61.270 	62.321 	63.251 	64.420 	65.468 	   66.516 
0.10 	56.403 	57.463 	58.521 	59.427 	60.634 	61.689 	62.591 	63.798 	64.852 	   65.904 
0.11 	55.744 	56.809 	57.869 	58.746 	59.989 	61.049 	61.921 	63.167 	64.224 	   65.281 
0.12 	55.084 	56.151 	57.214 	58.061 	59.340 	60.403 	61.247 	62.528 	63.589 	   64.650 
0.13 	54.422 	55.491 	56.555 	57.375 	58.686 	59.752 	60.569 	61.884 	62.948 	   64.012 
0.14 	53.758 	54.828 	55.893 	56.690 	58.029 	59.097 	59.891 	61.234 	62.301 	   63.368 
0.15 	53.091 	54.163 	55.228 	56.005 	57.366 	58.437 	59.212 	60.578 	61.648 	   62.718 
0.16 	52.422 	53.493 	54.559 	55.321 	56.699 	57.771 	58.532 	59.917 	60.989 	   62.062 
0.17 	51.749 	52.821 	53.886 	54.637 	56.028 	57.101 	57.851 	59.249 	60.324 	   61.399 
0.18 	51.074 	52.145 	53.210 	53.953 	55.351 	56.425 	57.169 	58.576 	59.653 	   60.729 
0.19 	50.398 	51.467 	52.530 	53.270 	54.670 	55.744 	56.486 	57.897 	58.975 	   60.053 
0.20 	49.720 	50.786 	51.847 	52.588 	53.985 	55.059 	55.803 	57.213 	58.292 	   59.371 
0.22 	48.367 	49.426 	50.480 	51.227 	52.610 	53.681 	54.435 	55.833 	56.912 	   57.992 
0.24 	47.026 	48.074 	49.119 	49.878 	51.234 	52.300 	53.070 	54.445 	55.521 	   56.601 
0.25 	46.364 	47.406 	48.444 	49.209 	50.549 	51.611 	52.390 	53.750 	54.825 	   55.903 
0.26 	45.710 	46.743 	47.775 	48.546 	49.868 	50.926 	51.714 	53.058 	54.130 	   55.206 
0.28 	44.427 	45.443 	46.458 	47.240 	48.523 	49.570 	50.375 	51.683 	52.748 	   53.817 
0.30 	43.186 	44.180 	45.176 	45.965 	47.208 	48.240 	49.059 	50.329 	51.384 	   52.444 
0.32 	41.991 	42.961 	43.935 	44.729 	45.929 	46.944 	47.772 	49.004 	50.046 	   51.095 
0.34 	40.844 	41.789 	42.740 	43.533 	44.690 	45.686 	46.520 	47.712 	48.739 	   49.774 
0.35 	40.289 	41.221 	42.160 	42.951 	44.087 	45.073 	45.908 	47.081 	48.099 	   49.127 
0.36 	39.747 	40.666 	41.591 	42.380 	43.496 	44.471 	45.305 	46.459 	47.469 	   48.488 
0.38 	38.697 	39.589 	40.489 	41.272 	42.346 	43.299 	44.131 	45.246 	46.237 	   47.239 
0.40 	37.694 	38.559 	39.433 	40.207 	41.241 	42.171 	42.996 	44.075 	45.046 	   46.029 
0.42 	36.735 	37.573 	38.421 	39.184 	40.179 	41.086 	41.903 	42.945 	43.896 	   44.859 
0.44 	35.815 	36.627 	37.451 	38.203 	39.160 	40.042 	40.849 	41.857 	42.786 	   43.728 
0.45 	35.370 	36.169 	36.980 	37.726 	38.665 	39.536 	40.337 	41.327 	42.246 	   43.178 
0.46 	34.933 	35.720 	36.519 	37.259 	38.180 	39.039 	39.834 	40.808 	41.715 	   42.637 
0.48 	34.085 	34.848 	35.623 	36.352 	37.237 	38.073 	38.856 	39.797 	40.682 	   41.583 
0.50 	33.269 	34.008 	34.761 	35.479 	36.329 	37.143 	37.914 	38.822 	39.686 	   40.565 
0.55 	31.349 	32.036 	32.737 	33.428 	34.199 	34.958 	35.699 	36.531 	37.342 	   38.169 
0.60 	29.581 	30.222 	30.877 	31.543 	32.243 	32.953 	33.664 	34.425 	35.187 	   35.964 
0.65 	27.948 	28.547 	29.161 	29.802 	30.438 	31.103 	31.786 	32.483 	33.198 	   33.929 
0.70 	26.442 	27.002 	27.576 	28.192 	28.772 	29.394 	30.049 	30.688 	31.359 	   32.045 
0.80 	23.796 	24.281 	24.781 	25.335 	25.822 	26.366 	26.958 	27.497 	28.086 	   28.690 
0.30 	21.616 	22.030 	22.459 	22.940 	23.353 	23.821 	24.343 	24.800 	25.311 	   25.837 
1.00 	19.853 	20.202 	20.565 	20.970 	21.323 	21.721 	22.167 	22.556 	22.995 	   23.447 
1.10 	18.430 	18.728 	19.035 	19.372 	19.675 	20.011 	20.385 	20.718 	21.089 	   21.474 
1.20 	17.262 	17.523 	17.789 	18.072 	18.338 	18.623 	18.934 	19.221 	19.535 	   19.860 
1.30 	16.266 	16.507 	16.747 	16.995 	17.234 	17.483 	17.746 	17.998 	18.266 	   18.542 
1.40 	15.378 	15.613 	15.841 	16.072 	16.296 	16.522 	16.753 	16.980 	17.215 	   17.454 
1.50 	14.551 	14.790 	15.020 	15.247 	15.465 	15.680 	15.895 	16.107 	16.321 	   16.536 
1.60 	13.755 	14.005 	14.245 	14.477 	14.697 	14.913 	15.123 	15.329 	15.533 	   15.735 
1.70 	12.980 	13.243 	13.494 	13.741 	13.968 	14.190 	14.406 	14.612 	14.815 	   15.013 
