Element	Lu	Hf	Ta	W	Re	Os	Ir	Pt	Au	Hg
Z	71 	72 	73 	74 	75 	76 	77 	78 	79 	80 
Method	*RHF	*RHF	   *RHF	   *RHF	  *RHF	  *RHF	  *RHF	  *RHF	RHF	    RHF
0.00 	71.000 	72.000 	   73.000 	   74.000 	   75.000 	   76.000 	   77.000 	   78.000 	79.000 	   80.000 
0.01 	70.944 	71.945 	   72.946 	   73.948 	   74.949 	   75.950 	   76.951 	   77.955 	78.957 	   79.556 
0.02 	70.778 	71.783 	   72.788 	   73.793 	   74.797 	   75.801 	   76.806 	   77.820 	78.826 	   79.819 
0.03 	70.509 	71.518 	   72.529 	   73.539 	   74.548 	   75.538 	   76.567 	   77.599 	78.609 	   79.595 
0.04 	70.148 	71.161 	   72.177 	   73.194 	   74.209 	   75.225 	   76.240 	   77.295 	78.311 	   79.286 
0.05 	69.707 	70.723 	   71.745 	   72.767 	   73.788 	   74.810 	   75.832 	   76.914 	77.936 	   78.899 
0.06 	69.202 	70.217 	   71.242 	   72.269 	   73.295 	   74.323 	   75.352 	   76.462 	77.491 	   78.439 
0.07 	68.646 	69.656 	   70.680 	   71.711 	   72.740 	   73.772 	   74.806 	   75.946 	76.981 	   77.913 
0.08 	68.051 	69.052 	   70.072 	   71.103 	   72.132 	   73.167 	   74.206 	   75.373 	76.414 	   77.330 
0.09 	67.429 	68.416 	69.428 	   70.455 	   71.482 	   72.518 	   73.558 	   74.751 	75.797 	   76.696 
0.10 	66.789 	67.757 	68.758 	69.778 	   70.799 	   71.832 	   72.872 	   74.086 	75.135 	   76.018 
0.11 	66.137 	67.083 	68.069 	69.078 	   70.091 	   71.119 	   72.156 	   73.386 	74.437 	   75.303 
0.12 	65.477 	66.400 	67.367 	68.363 	69.365 	   70.384 	   71.416 	   72.656 	73.706 	   74.559 
0.13 	64.813 	65.711 	66.658 	67.637 	68.625 	69.634 	   70.658 	   71.902 	72.950 	   73.790 
0.14 	64.146 	65.019 	65.944 	66.906 	67.878 	68.874 	69.887 	   71.130 	72.173 	   73.001 
0.15 	63.478 	64.326 	65.229 	66.172 	67.126 	68.107 	69.108 	   70.343 	71.380 	   72.198 
0.16 	62.807 	63.634 	64.515 	65.437 	66.372 	67.337 	68.324 	69.546 	70.575 	   71.385 
0.17 	62.134 	62.942 	63.802 	64.703 	65.619 	66.566 	67.538 	68.742 	69.761 	   70.564 
0.18 	61.460 	62.251 	63.090 	63.972 	64.868 	65.797 	66.752 	67.934 	68.941 	   69.740 
0.19 	60.783 	61.560 	62.382 	63.243 	64.121 	65.031 	65.969 	67.125 	68.119 	   68.914 
0.20 	60.103 	60.870 	61.675 	62.519 	63.378 	64.269 	65.189 	66.317 	67.296 	   68.088 
0.22 	58.739 	59.492 	60.271 	61.082 	61.906 	62.761 	63.645 	64.709 	65.657 	   66.447 
0.24 	57.369 	58.119 	58.880 	59.663 	60.457 	61.278 	62.127 	63.125 	64.039 	   64.828 
0.25 	56.683 	57.434 	58.189 	58.961 	59.742 	60.548 	61.380 	62.344 	63.241 	   64.029 
0.26 	55.998 	56.752 	57.502 	58.265 	59.034 	59.825 	60.641 	61.571 	62.452 	   63.239 
0.28 	54.634 	55.396 	56.141 	56.888 	57.637 	58.403 	59.189 	60.056 	60.902 	   61.687 
0.30 	53.282 	54.054 	54.799 	55.536 	56.270 	57.013 	57.773 	58.582 	59.395 	   60.177 
0.32 	51.950 	52.733 	53.479 	54.210 	54.932 	55.658 	56.395 	57.152 	57.935 	   58.711 
0.34 	50.642 	51.435 	52.185 	52.912 	53.627 	54.339 	55.056 	55.769 	56.523 	   57.292 
0.35 	49.998 	50.796 	51.548 	52.274 	52.986 	53.692 	54.401 	55.094 	55.835 	   56.600 
0.36 	49.363 	50.164 	50.918 	51.644 	52.354 	53.055 	53.756 	54.432 	55.160 	   55.920 
0.38 	48.117 	48.924 	49.683 	50.408 	51.114 	51.807 	52.496 	53.141 	53.846 	   54.595 
0.40 	46.906 	47.717 	48.479 	49.205 	49.910 	50.596 	51.274 	51.897 	52.581 	   53.318 
0.42 	45.731 	46.543 	47.308 	48.036 	48.739 	49.422 	50.091 	50.697 	51.363 	   52.088 
0.44 	44.593 	45.405 	46.171 	46.900 	47.603 	48.283 	48.946 	49.540 	50.191 	   50.902 
0.45 	44.038 	44.849 	45.615 	46.344 	47.048 	47.726 	48.387 	48.977 	49.622 	   50.326 
0.46 	43.492 	44.301 	45.068 	45.797 	46.501 	47.179 	47.837 	48.424 	49.063 	   49.761 
0.48 	42.427 	43.232 	43.998 	44.728 	45.432 	46.109 	46.765 	47.347 	47.976 	   48.661 
0.50 	41.398 	42.197 	42.962 	43.691 	44.396 	45.072 	45.726 	46.308 	46.929 	   47.601 
0.55 	38.970 	39.752 	40.508 	41.236 	41.940 	42.617 	43.269 	43.860 	44.469 	   45.113 
0.60 	36.733 	37.494 	38.238 	38.960 	39.662 	40.340 	40.994 	41.601 	42.207 	   42.829 
0.65 	34.666 	35.404 	36.132 	36.846 	37.544 	38.222 	38.878 	39.502 	40.110 	   40.718 
0.70 	32.752 	33.465 	34.175 	34.878 	35.569 	36.244 	36.901 	37.539 	38.153 	   38.753 
0.80 	29.334 	29.992 	30.658 	31.327 	31.993 	32.654 	33.305 	33.958 	34.581 	   35.176 
0.90 	26.413 	27.008 	27.618 	28.238 	28.865 	29.495 	30.125 	30.766 	31.387 	   31.980 
1.00 	23.950 	24.473 	25.016 	25.576 	26.148 	26.732 	27.323 	27.930 	28.530 	   29.112 
1.10 	21.902 	22.352 	22.823 	23.313 	23.821 	24.345 	24.882 	25.437 	25.998 	   26.554 
1.20 	20.219 	20.598 	20.998 	21.418 	21.856 	22.314 	22.789 	23.281 	23.789 	   24.303 
1.30 	18.842 	19.159 	19.494 	19.847 	20.219 	20.610 	21.019 	21.445 	21.892 	   22.354 
1.40 	17.709 	17.975 	18.256 	18.552 	18.864 	19.194 	19.541 	19.902 	20.287 	   20.692 
1.50 	16.759 	16.988 	17.228 	17.478 	17.742 	18.019 	18.312 	18.616 	18.943 	   19.290 
1.60 	15.939 	16.145 	16.356 	16.575 	16.801 	17.038 	17.287 	17.545 	17.821 	   18.116 
1.70 	15.208 	15.403 	15.598 	15.796 	15.998 	16.206 	16.422 	16.644 	16.880 	   17.131 
1.80 	14.534 	14.727 	14.916 	15.104 	15.293 	15.483 	15.678 	15.875 	16.081 	   16.298 
1.90 	13.894 	14.091 	14.282 	14.469 	14.653 	14.835 	15.018 	15.202 	15.388 	   15.581 
2.00 	13.277 	13.481 	13.679 	13.871 	14.057 	14.239 	14.418 	14.595 	14.770 	   14.949 
2.50 	10.500 	10.733 	10.950 	11.167 	11.383 	11.583 	11.783 	11.983 	12.168 	   12.360 
3.00 	8.013 	8.238 	   8.480 	   8.706 	   8.938 	   9.163 	   9.400 	   9.620 	    9.826 	   10.049 
3.50 	6.400 	6.560 	   6.740 	   6.900 	   7.080 	   7.270 	   7.460 	   7.650 	    7.878 	8.081 
4.00 	5.490 	5.600 	   5.710 	   5.840 	   5.960 	   6.080 	   6.210 	   6.340 	    6.489 	6.644 
5.00 	4.450 	4.520 	   4.585 	   4.650 	   4.715 	   4.788 	   4.860 	   4.935 	    5.010 	5.090 
6.00 	3.680 	3.755 	   3.825 	   3.900 	   3.970 	   4.035 	   4.105 	   4.175 	    4.244 	4.310 
