Element	Tl	Pb	Bi	Po	At	Rn	Fr	Ra	Ac	Th
Z	81 	82 	83 	84 	85 	86 	87 	88 	89 	90 
Method	*RHF	    RHF	RHF	*RHF	*RHF	   RHF	*RHF	*RHF	*RHF	    *RHF
0.00 	81.000 	82.000 	83.000 	84.000 	85.000 	86.000 	87.000 	88.000 	89.000 	   90.000 
0.01 	80.950 	81.949 	82.947 	83.944 	84.944 	85.945 	86.922 	87.915 	88.915 	   89.916 
0.02 	80.799 	81.792 	82.784 	83.778 	84.776 	85.777 	86.694 	87.664 	88.664 	   89.669 
0.03 	80.553 	81.536 	82.518 	83.506 	84.502 	85.502 	86.332 	87.263 	88.260 	   89.269 
0.04 	80.217 	81.186 	82.154 	83.134 	84.125 	85.123 	85.854 	86.734 	87.723 	   88.735 
0.05 	79.798 	80.750 	81.700 	82.669 	83.654 	84.649 	85.286 	86.104 	87.077 	   88.085 
0.06 	79.305 	80.237 	81.167 	82.121 	83.098 	84.087 	84.647 	85.397 	86.346 	   87.344 
0.07 	78.748 	79.656 	80.563 	81.501 	82.466 	83.448 	83.955 	84.638 	85.553 	   86.533 
0.08 	78.134 	79.018 	79.901 	80.819 	81.770 	82.742 	83.222 	83.845 	84.719 	   85.672 
0.09 	77.473 	78.332 	79.189 	80.086 	81.020 	81.979 	82.457 	83.030 	83.859 	   84.779 
0.10 	76.773 	77.607 	78.438 	79.312 	80.226 	81.169 	81.666 	82.202 	82.985 	   83.867 
0.11 	76.042 	76.851 	77.657 	78.506 	79.398 	80.322 	80.852 	81.368 	82.105 	   82.946 
0.12 	75.284 	76.071 	76.852 	77.677 	78.545 	79.448 	80.018 	80.528 	81.225 	   82.025 
0.13 	74.507 	75.274 	76.032 	76.831 	77.674 	78.554 	79.167 	79.685 	80.348 	   81.107 
0.14 	73.715 	74.464 	75.202 	75.976 	76.794 	77.648 	78.303 	78.839 	79.474 	   80.196 
0.15 	72.912 	73.645 	74.365 	75.117 	75.908 	76.737 	77.430 	77.990 	78.605 	   79.294 
0.16 	72.101 	72.822 	73.527 	74.257 	75.023 	75.826 	76.550 	77.138 	77.739 	   78.400 
0.17 	71.285 	71.997 	72.689 	73.400 	74.143 	74.920 	75.667 	76.285 	76.879 	   77.516 
0.18 	70.467 	71.172 	71.855 	72.549 	73.269 	74.021 	74.785 	75.431 	76.023 	   76.642 
0.19 	69.648 	70.349 	71.026 	71.706 	72.405 	73.133 	73.907 	74.578 	75.172 	   75.777 
0.20 	68.830 	69.530 	70.203 	70.871 	71.553 	72.258 	73.035 	73.728 	74.326 	   74.922 
0.22 	67.205 	67.907 	68.578 	69.232 	69.885 	70.552 	71.320 	72.043 	72.654 	   73.242 
0.24 	65.600 	66.310 	66.987 	67.634 	68.269 	68.907 	69.653 	70.389 	71.014 	   71.602 
0.25 	64.807 	65.523 	66.204 	66.852 	67.481 	68.109 	68.841 	69.576 	70.208 	   70.798 
0.26 	64.022 	64.743 	65.430 	66.080 	66.706 	67.325 	68.043 	68.775 	69.412 	   70.005 
0.28 	62.478 	63.210 	63.909 	64.567 	65.193 	65.802 	66.491 	67.210 	67.855 	   68.454 
0.30 	60.970 	61.712 	62.425 	63.093 	63.725 	64.332 	64.996 	65.696 	66.345 	   66.951 
0.32 	59.503 	60.253 	60.977 	61.658 	62.301 	62.912 	63.556 	64.235 	64.884 	   65.497 
0.34 	58.079 	58.833 	59.566 	60.260 	60.915 	61.535 	62.167 	62.826 	63.473 	   64.091 
0.35 	57.383 	58.138 	58.875 	59.575 	60.236 	60.862 	61.489 	62.140 	62.785 	   63.405 
0.36 	56.698 	57.453 	58.193 	58.899 	59.566 	60.198 	60.823 	61.466 	62.110 	   62.731 
0.38 	55.362 	56.116 	56.859 	57.573 	58.253 	58.898 	59.520 	60.151 	60.792 	   61.416 
0.40 	54.072 	54.820 	55.563 	56.283 	56.974 	57.631 	58.256 	58.879 	59.517 	   60.143 
0.42 	52.826 	53.567 	54.306 	55.029 	55.728 	56.397 	57.026 	57.646 	58.282 	   58.910 
0.44 	51.625 	52.356 	53.089 	53.811 	54.515 	55.194 	55.829 	56.448 	57.084 	   57.713 
0.45 	51.041 	51.766 	52.495 	53.215 	53.921 	54.604 	55.242 	55.862 	56.497 	   57.127 
0.46 	50.467 	51.187 	51.910 	52.629 	53.335 	54.021 	54.663 	55.284 	55.919 	   56.550 
0.48 	49.352 	50.058 	50.771 	51.483 	52.189 	52.879 	53.527 	54.151 	54.787 	   55.419 
0.50 	48.276 	48.969 	49.669 	50.373 	51.075 	51.767 	52.420 	53.048 	53.684 	   54.317 
0.55 	45.753 	46.411 	47.077 	47.752 	48.435 	49.119 	49.777 	50.413 	51.050 	   51.684 
0.60 	43.442 	44.069 	44.700 	45.343 	45.997 	46.659 	47.310 	47.948 	48.580 	   49.211 
0.65 	41.313 	41.914 	42.517 	43.127 	43.750 	44.384 	45.017 	45.646 	46.268 	   46.889 
0.70 	39.337 	39.921 	40.501 	41.085 	41.678 	42.281 	42.891 	43.504 	44.110 	   44.716 
0.80 	35.755 	36.322 	36.879 	37.430 	37.980 	38.533 	39.095 	39.664 	40.229 	   40.795 
0.90 	32.561 	33.127 	33.680 	34.220 	34.751 	35.277 	35.804 	36.335 	36.863 	   37.391 
1.00 	29.687 	30.252 	30.805 	31.344 	31.872 	32.389 	32.900 	33.408 	33.912 	   34.413 
1.10 	27.109 	27.662 	28.208 	28.744 	29.271 	29.787 	30.292 	30.790 	31.283 	   31.770 
1.20 	24.824 	25.350 	25.875 	26.397 	26.915 	27.426 	27.926 	28.418 	28.906 	   29.387 
1.30 	22.827 	23.313 	23.804 	24.298 	24.794 	25.291 	25.779 	26.263 	26.744 	   27.219 
1.40 	21.110 	21.546 	21.992 	22.446 	22.909 	23.379 	23.845 	24.312 	24.779 	   25.244 
1.50 	19.652 	20.034 	20.429 	20.836 	21.256 	21.689 	22.123 	22.564 	23.008 	   23.454 
1.60 	18.424 	18.754 	19.097 	19.453 	19.826 	20.215 	20.608 	21.014 	21.427 	   21.846 
1.70 	17.394 	17.674 	17.969 	18.277 	18.602 	18.944 	19.295 	19.660 	20.036 	   20.421 
1.80 	16.524 	16.764 	17.017 	17.281 	17.562 	17.859 	18.165 	18.488 	18.823 	   19.170 
1.90 	15.780 	15.989 	16.207 	16.435 	16.677 	16.934 	17.199 	17.481 	17.776 	   18.083 
2.00 	15.131 	15.317 	15.510 	15.711 	15.922 	16.143 	16.377 	16.623 	16.880 	   17.149 
2.50 	12.530 	12.724 	12.896 	13.060 	13.230 	13.386 	13.550 	13.700 	13.860 	   14.020 
