Element	Pa	U	Np	Pu	Am	Cm	Bk	Cf
Z	91 	92 	93 	94 	95 	96 	97 	98 
Method	*RHF	    RHF	*RHF	    *RHF	    *RHF	    *RHF	    *RHF	    *RHF
0.00 	91.000 	92.000 	   93.000 	   94.000 	   95.000 	   96.000 	   97.000 	   98.000 
0.01 	90.919 	91.922 	   92.922 	   93.924 	   94.926 	   95.926 	   96.928 	   97.929 
0.02 	90.678 	91.687 	   92.691 	   93.701 	   94.706 	   95.708 	   96.713 	   97.718 
0.03 	90.290 	91.307 	   92.318 	   93.340 	   94.352 	   95.354 	   96.365 	   97.375 
0.04 	89.772 	90.798 	   91.817 	   92.857 	   93.877 	   94.877 	   95.895 	   96.912 
0.05 	89.144 	90.180 	   91.208 	   92.271 	   93.299 	   94.294 	   95.320 	   96.344 
0.06 	88.427 	89.474 	   90.510 	   91.601 	   92.638 	   93.623 	   94.656 	   95.688 
0.07 	87.644 	88.699 	   89.742 	   90.866 	   91.910 	   92.879 	   93.920 	   94.961 
0.08 	86.813 	87.874 	   88.923 	   90.082 	   91.131 	   92.081 	   93.129 	   94.176 
0.09 	85.950 	87.014 	   88.067 	   89.261 	   90.315 	   91.241 	   92.294 	   93.347 
0.10 	85.066 	86.130 	   87.186 	   88.413 	   89.470 	   90.371 	   91.429 	   92.486 
0.11 	84.170 	85.232 	   86.288 	   87.547 	   88.605 	   89.479 	   90.540 	   91.601 
0.12 	83.269 	84.326 	   85.380 	   86.665 	   87.723 	   88.573 	   89.635 	   90.699 
0.13 	82.366 	83.417 	   84.467 	   85.772 	   86.829 	   87.656 	   88.718 	   89.783 
0.14 	81.463 	82.505 	   83.550 	   84.870 	   85.924 	   86.731 	   87.793 	   88.858 
0.15 	80.563 	81.595 	   82.632 	   83.961 	   85.011 	   85.802 	   86.862 	   87.926 
0.16 	79.665 	80.685 	   81.715 	   83.044 	   84.090 	   84.869 	   85.926 	   86.989 
0.17 	78.771 	79.779 	   80.799 	   82.123 	   83.163 	   83.934 	   84.988 	   86.048 
0.18 	77.881 	78.875 	   79.885 	   81.198 	   82.231 	   82.998 	   84.047 	   85.103 
0.19 	76.995 	77.975 	   78.973 	   80.271 	   81.296 	   82.062 	   83.105 	   84.157 
0.20 	76.115 	77.080 	   78.066 	   79.343 	   80.360 	   81.126 	   82.163 	   83.210 
0.22 	74.375 	75.308 	   76.267 	   77.493 	   78.490 	   79.263 	   80.285 	   81.318 
0.24 	72.668 	73.568 	   74.496 	   75.663 	   76.636 	   77.419 	   78.421 	   79.437 
0.25 	71.829 	72.712 	   73.624 	   74.759 	   75.719 	   76.507 	   77.498 	   78.504 
0.26 	71.001 	71.866 	   72.763 	   73.865 	   74.811 	   75.603 	   76.582 	   77.577 
0.28 	69.380 	70.211 	   71.074 	   72.110 	   73.027 	   73.824 	   74.777 	   75.749 
0.30 	67.810 	68.607 	   69.436 	   70.408 	   71.293 	   72.091 	   73.016 	   73.960 
0.32 	66.294 	67.058 	   67.853 	   68.763 	   69.615 	   70.409 	   71.303 	   72.219 
0.34 	64.832 	65.564 	   66.326 	   67.178 	   67.997 	   68.783 	   69.645 	   70.531 
0.35 	64.121 	64.838 	   65.584 	   66.409 	   67.212 	   67.991 	   68.838 	   69.707 
0.36 	63.423 	64.126 	   64.857 	   65.655 	   66.441 	   67.214 	   68.045 	   68.898 
0.38 	62.066 	62.742 	   63.443 	   64.193 	   64.947 	   65.705 	   66.503 	   67.325 
0.40 	60.758 	61.409 	   62.083 	   62.789 	   63.513 	   64.254 	   65.020 	   65.810 
0.42 	59.495 	60.125 	   60.775 	   61.442 	   62.137 	   62.859 	   63.595 	   64.354 
0.44 	58.274 	58.886 	   59.514 	   60.147 	   60.816 	   61.519 	   62.226 	   62.954 
0.45 	57.679 	58.283 	   58.901 	   59.518 	   60.175 	   60.869 	   61.562 	   62.276 
0.46 	57.093 	57.689 	   58.298 	   58.901 	   59.546 	   60.231 	   60.910 	   61.610 
0.48 	55.948 	56.531 	   57.124 	   57.702 	   58.325 	   58.992 	   59.646 	   60.319 
0.50 	54.836 	55.410 	   55.989 	   56.544 	   57.148 	   57.798 	   58.430 	   59.078 
0.55 	52.191 	52.748 	   53.303 	   53.819 	   54.385 	   54.998 	   55.581 	   56.176 
0.60 	49.719 	50.268 	   50.808 	   51.302 	   51.842 	   52.427 	   52.974 	   53.528 
0.65 	47.405 	47.950 	   48.483 	   48.967 	   49.490 	   50.052 	   50.574 	   51.098 
0.70 	45.241 	45.784 	   46.312 	   46.794 	   47.307 	   47.850 	   48.354 	   48.858 
0.80 	41.333 	41.869 	   42.390 	   42.879 	   43.380 	   43.894 	   44.380 	   44.859 
0.90 	37.930 	38.454 	   38.966 	   39.465 	   39.958 	   40.449 	   40.926 	   41.395 
1.00 	34.946 	35.458 	   35.961 	   36.465 	   36.952 	   37.426 	   37.898 	   38.361 
1.10 	32.292 	32.794 	   33.289 	   33.793 	   34.276 	   34.740 	   35.209 	   35.671 
1.20 	29.897 	30.391 	   30.879 	   31.379 	   31.858 	   32.318 	   32.786 	   33.247 
1.30 	27.714 	28.199 	   28.680 	   29.172 	   29.648 	   30.106 	   30.572 	   31.033 
1.40 	25.720 	26.192 	   26.662 	   27.142 	   27.611 	   28.068 	   28.530 	   28.989 
1.50 	23.905 	24.360 	   24.813 	   25.275 	   25.733 	   26.184 	   26.639 	   27.093 
1.60 	22.266 	22.699 	   23.128 	   23.566 	   24.006 	   24.446 	   24.889 	   25.332 
1.70 	20.807 	21.207 	   21.609 	   22.019 	   22.435 	   22.857 	   23.281 	   23.708 
1.80 	19.518 	19.886 	   20.253 	   20.630 	   21.018 	   21.415 	   21.815 	   22.221 
1.90 	18.394 	18.723 	   19.055 	   19.398 	   19.754 	   20.121 	   20.496 	   20.872 
2.00 	17.423 	17.713 	   18.012 	   18.319 	   18.640 	   18.975 	   19.315 	   19.665 
2.50 	14.180 	14.341 	   14.503 	   14.664 	   14.826 	   14.988 	   15.150 	   15.311 
3.00 	12.150 	12.294 	   12.475 	   12.656 	   12.838 	   13.019 	   13.200 	   13.381 
3.50 	10.320 	10.495 	   10.695 	   10.895 	   11.095 	   11.295 	   11.495 	   11.695 
4.00 	8.630 	8.823 	9.008 	    9.193 	    9.378 	    9.563 	    9.748 	    9.933 
5.00 	6.250 	6.378 	6.489 	    6.602 	    6.713 	    6.825 	    6.937 	    7.049 
6.00 	5.055 	5.136 	5.206 	    5.275 	    5.345 	    5.414 	    5.484 	    5.553 
